VEHICLE_NAME,VEHICLE_TID,ORGUNIT_NAME,VEHICLE_MODEL,VEHICLE_ID,ORGUNIT_ID,OPD_DATE
8388,8388,GoBus,DDS,8388,1844976,22-MAR-23
8389,8389,GoBus,DDS,8389,1844976,25-FEB-23
8390,8390,GoBus,DDS,8390,1844976,25-FEB-23
8391,8391,GoBus,DDS,8391,1844976,22-MAR-23
8392,8392,GoBus,DDS 2018,8392,1844976,30-DEC-21
8393,8393,GoBus,DDS 2018,8393,1844976,16-JUN-22
8394,8394,GoBus,DDS,8394,1844976,22-MAR-23
8395,8395,GoBus,DDS,8395,1844976,22-MAR-23
8396,8396,GoBus,DDS 2018,8396,1844976,23-JAN-22
8397,8397,GoBus,DDS 2018,8397,1844976,02-MAY-22
8398,8398,GoBus,DDS 2018,8398,1844976,22-MAR-22
8399,8399,GoBus,DDS,8399,1844976,22-MAR-23
8401,8401,GoBus,DDS,8401,1844976,22-FEB-23
8402,8402,GoBus,DDS,8402,1844976,22-MAR-23
8403,8403,GoBus,DDS,8403,1844976,22-MAR-23
8404,8404,GoBus,DDS,8404,1844976,22-MAR-23
8405,8405,GoBus,DDS,8405,1844976,09-MAR-23
8406,8406,GoBus,DDS,8406,1844976,25-FEB-23
8407,8407,GoBus,DDS 2018,8407,1844976,14-SEP-22
8408,8408,GoBus,DDS 2018,8408,1844976,17-MAR-22
8409,8409,GoBus,DDS,8409,1844976,22-MAR-23
8410,8410,GoBus,DDS,8410,1844976,22-MAR-23
8411,8411,GoBus,DDS,8411,1844976,22-MAR-23
8412,8412,GoBus,DDS,8412,1844976,25-FEB-23
8413,8413,GoBus,DDS,8413,1844976,22-MAR-23
8414,8414,GoBus,DDS,8414,1844976,25-FEB-23
8415,8415,GoBus,DDS,8415,1844976,22-MAR-23
8416,8416,GoBus,DDS,8416,1844976,22-MAR-23
8417,8417,GoBus,DDS,8417,1844976,22-MAR-23
8418,8418,GoBus,DDS,8418,1844976,25-FEB-23
8419,8419,GoBus,DDS,8419,1844976,22-MAR-23
8420,8420,GoBus,DDS 2018,8420,1844976,26-JUL-22
8421,8421,GoBus,DDS,8421,1844976,22-MAR-23
8422,8422,GoBus,DDS,8422,1844976,22-MAR-23
8423,8423,GoBus,DDS,8423,1844976,09-MAR-23
8424,8424,GoBus,DDS,8424,1844976,22-MAR-23
8425,8425,GoBus,DDS,8425,1844976,07-FEB-23
8426,8426,GoBus,DDS,8426,1844976,22-MAR-23
8427,8427,GoBus,DDS,8427,1844976,25-FEB-23
8428,8428,GoBus,DDS,8428,1844976,22-MAR-23
8429,8429,GoBus,DDS,8429,1844976,22-MAR-23
8430,8430,GoBus,DDS 2018,8430,1844976,14-SEP-22
8431,8431,GoBus,DDS,8431,1844976,22-MAR-23
8432,8432,GoBus,DDS 2018,8432,1844976,17-AUG-22
8433,8433,GoBus,DDS,8433,1844976,22-MAR-23
8434,8434,GoBus,DDS,8434,1844976,22-MAR-23
8435,8435,GoBus,DDS 2018,8435,1844976,14-SEP-22
8436,8436,GoBus,DDS 2018,8436,1844976,23-OCT-21
8437,8437,GoBus,DDS,8437,1844976,22-MAR-23
8438,8438,GoBus,DDS,8438,1844976,22-MAR-23
8439,8439,GoBus,DDS,8439,1844976,22-MAR-23
8440,8440,GoBus,DDS 2018,8440,1844976,28-OCT-21
8441,8441,GoBus,DDS,8441,1844976,25-FEB-23
8442,8442,GoBus,DDS,8442,1844976,22-MAR-23
8444,8444,GoBus,DDS,8444,1844976,22-MAR-23
8445,8445,GoBus,DDS,8445,1844976,22-MAR-23
8446,8446,GoBus,DDS,8446,1844976,22-MAR-23
8447,8447,GoBus,DDS,8447,1844976,25-FEB-23
8448,8448,GoBus,DDS,8448,1844976,25-FEB-23
8449,8449,GoBus,DDS,8449,1844976,22-MAR-23
8450,8450,GoBus,DDS,8450,1844976,22-MAR-23
8451,8451,GoBus,DDS,8451,1844976,25-FEB-23
8452,8452,GoBus,DDS,8452,1844976,07-FEB-23
8453,8453,GoBus,DDS,8453,1844976,22-MAR-23
8454,8454,GoBus,DDS 2018,8454,1844976,12-AUG-22
8455,8455,GoBus,DDS,8455,1844976,04-FEB-23
8456,8456,GoBus,DDS,8456,1844976,22-MAR-23
